id, check, score, max_score, error_var, good_var, message
m5, _sort_reps, 1, 1, [], ['fields.m5.reps'], Passed, field
m5, _reps_dim_consistency, 1, 1, [], ['fields.m5.dim', 'fields.m5.reps.g2'], Passed, field
m5, _conj_charges_consistency, 1, 1, [], ['particles.f8.charge', 'particles.f10.charge', 'particles.f12.charge', 'fields.m5.self_conjugate'], Passed, field
m5, _rep_charge_consistency, 1, 1, [], ['particles.f8.charge', 'particles.f10.charge', 'particles.f12.charge'], Passed, field
m5, _sort_particles, 1, 1, [], ['particles.f8', 'particles.f10', 'particles.f12'], Passed, field
m5, _chirality_check, 1, 1, [], ['fields.m5.chirality'], Passed, field
m5, _assign_colors, 1, 1, [], ['fields.m5.reps.g3'], Passed, field
m5, _mass_term_check, 10, 10, [], ['interactions.i3'], Passed, field
i1, _fields_integrity_check, 1, 1, [], ['interactions.i1.fields'], Passed, interaction
i1, _field_check, 1, 1, [], ['fields.m1', 'fields.m2', 'fields.m6'], Passed, interaction
i1, _all_field_pass_checks, 1, 1, [], ['interactions.i1.fields'], Passed, interaction
i1, _sort_field, 1, 1, [], ['interactions.i1.fields'], Passed, interaction
i1, _gen_check, 1, 1, [], ['fields.m1.gen', 'fields.m2.gen'], Passed, interaction
i1, _dim_check, 1, 1, [], ['fields.m1.dim', 'fields.m6.dim'], Passed, interaction
i1, _dirac_bilinear_product, 1, 1, [], ['fields.m1.particles', 'fields.m2.particles'], Passed, interaction
i1, _get_massive_particles, 1, 1, [], ['fields.m1.particles', 'fields.m2.particles'], Passed, interaction
i1, _check_U1Y_gauge_symmetry, 1, 1, [], ['fields.m1.reps.g1', 'fields.m2.reps.g1', 'fields.m6.reps.g1'], Passed, interaction
i1, _yukawa_mass, 1, 1, [], ['interactions.i1.fields'], Passed, interaction
i1, _yukawa_matrix, 1, 1, [], ['interactions.i1.fields'], Passed, interaction
i1, _mixing_matrix, 1, 1, [], ['interactions.i1.fields'], Passed, interaction
i1, _yukawa_lagrangian, 1, 1, [], ['interactions.i1.fields'], Passed, interaction
